Humidity: 26.80 %, Temp: 25.10 Celsius
Humidity: 26.70 %, Temp: 25.10 Celsius
Humidity: 26.60 %, Temp: 25.00 Celsius
Humidity: 26.60 %, Temp: 25.00 Celsius
Humidity: 26.60 %, Temp: 25.00 Celsius
Humidity: 26.50 %, Temp: 25.00 Celsius
Humidity: 26.50 %, Temp: 25.00 Celsius
Humidity: 26.50 %, Temp: 25.00 Celsius
Humidity: 26.50 %, Temp: 25.00 Celsius
Humidity: 26.50 %, Temp: 25.00 Celsius
Humidity: 26.50 %, Temp: 25.00 Celsius
Humidity: 26.50 %, Temp: 24.90 Celsius
Humidity: 26.50 %, Temp: 24.90 Celsius
Humidity: 26.50 %, Temp: 24.90 Celsius
Humidity: 26.50 %, Temp: 24.90 Celsius
Humidity: 26.50 %, Temp: 24.90 Celsius
Humidity: 26.50 %, Temp: 24.90 Celsius
Humidity: 26.50 %, Temp: 24.90 Celsius
Humidity: 26.40 %, Temp: 24.80 Celsius
Humidity: 26.40 %, Temp: 24.80 Celsius
Humidity: 26.50 %, Temp: 24.80 Celsius
Humidity: 26.50 %, Temp: 24.80 Celsius
Humidity: 26.50 %, Temp: 24.80 Celsius
Humidity: 26.50 %, Temp: 24.80 Celsius
Humidity: 38.40 %, Temp: 24.80 Celsius
Humidity: 37.80 %, Temp: 24.80 Celsius
Humidity: 35.70 %, Temp: 24.80 Celsius
Humidity: 35.10 %, Temp: 24.80 Celsius
Humidity: 35.30 %, Temp: 24.90 Celsius
Humidity: 34.30 %, Temp: 24.80 Celsius
Humidity: 33.60 %, Temp: 24.90 Celsius
Humidity: 32.80 %, Temp: 24.90 Celsius
Humidity: 32.00 %, Temp: 24.80 Celsius
Humidity: 31.40 %, Temp: 24.90 Celsius
Humidity: 30.70 %, Temp: 24.80 Celsius
Humidity: 30.20 %, Temp: 24.80 Celsius
Humidity: 29.90 %, Temp: 24.80 Celsius
Humidity: 29.60 %, Temp: 24.80 Celsius
Humidity: 29.30 %, Temp: 24.80 Celsius
Humidity: 29.00 %, Temp: 24.80 Celsius
Humidity: 28.80 %, Temp: 24.80 Celsius
Humidity: 28.70 %, Temp: 24.80 Celsius
Humidity: 28.50 %, Temp: 24.80 Celsius
Humidity: 28.40 %, Temp: 24.80 Celsius
Humidity: 28.20 %, Temp: 24.80 Celsius
Humidity: 28.10 %, Temp: 24.80 Celsius
Humidity: 28.00 %, Temp: 24.70 Celsius
Humidity: 27.90 %, Temp: 24.70 Celsius
Humidity: 27.80 %, Temp: 24.70 Celsius
Humidity: 27.70 %, Temp: 24.70 Celsius
Humidity: 27.60 %, Temp: 24.70 Celsius
Humidity: 27.60 %, Temp: 24.70 Celsius
Humidity: 27.50 %, Temp: 24.70 Celsius
Humidity: 27.50 %, Temp: 24.70 Celsius
Humidity: 27.40 %, Temp: 24.70 Celsius
Humidity: 27.40 %, Temp: 24.70 Celsius
Humidity: 27.40 %, Temp: 24.70 Celsius
